img_file_name,img_file_label,annotation_file_name
/content/drive/My Drive/AAR/dataset/LightBox/Set7/SpaceOutRandom_BadSeeds (s7).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set7/SpaceOutRandom_BadSeeds (s7).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set7/Line_Mix (s7).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set7/Line_Mix (s7).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set6/Line_GoodSeeds (s6).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set6/Line_GoodSeeds (s6).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set6/Line_BadSeeds (s6).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set6/Line_BadSeeds (s6).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set6/SpaceOutRandom_GoodSeeds (s6).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set6/SpaceOutRandom_GoodSeeds (s6).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set6/SpaceOutRandom_BadSeeds (s6).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set6/SpaceOutRandom_BadSeeds (s6).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set6/Line_Mix (s6).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set6/Line_Mix (s6).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set6/SpaceOutRandom_Mix (s6).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set6/SpaceOutRandom_Mix (s6).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set5/SpaceOutRandom_BadSeeds (s5).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set5/SpaceOutRandom_BadSeeds (s5).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set5/Line_Mix (s5).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set5/Line_Mix (s5).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set5/Line_GoodSeeds (s5).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set5/Line_GoodSeeds (s5).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set5/Line_BadSeeds (s5).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set5/Line_BadSeeds (s5).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set5/SpaceOutRandom_Mix (s5).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set5/SpaceOutRandom_Mix (s5).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set5/SpaceOutRandom_GoodSeeds (s5).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set5/SpaceOutRandom_GoodSeeds (s5).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set4/SpaceOutRandom_GoodSeeds (s4).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set4/SpaceOutRandom_GoodSeeds (s4).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set4/SpaceOutRandom_BadSeeds (s4).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set4/SpaceOutRandom_BadSeeds (s4).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set4/Line_Mix (s4).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set4/Line_Mix (s4).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set4/Line_GoodSeeds (s4).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set4/Line_GoodSeeds (s4).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set4/Line_BadSeeds (s4).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set4/Line_BadSeeds (s4).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set4/SpaceOutRandom_Mix (s4).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set4/SpaceOutRandom_Mix (s4).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set3/Line_Mix (s3).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set3/Line_Mix (s3).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set3/Line_GoodSeeds (s3).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set3/Line_GoodSeeds (s3).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set3/Line_BadSeeds (s3).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set3/Line_BadSeeds (s3).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set3/SpaceOutRandom_Mix (s3).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set3/SpaceOutRandom_Mix (s3).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set3/SpaceOutRandom_GoodSeeds (s3).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set3/SpaceOutRandom_GoodSeeds (s3).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set3/SpaceOutRandom_BadSeeds (s3).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set3/SpaceOutRandom_BadSeeds (s3).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set20/Line_Mix (s20).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set20/Line_Mix (s20).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set20/Line_GoodSeeds (s20).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set20/Line_GoodSeeds (s20).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set20/Line_BadSeeds (s20).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set20/Line_BadSeeds (s20).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set20/SpaceOutRandom_Mix (s20).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set20/SpaceOutRandom_Mix (s20).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set20/SpaceOutRandom_GoodSeeds (s20).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set20/SpaceOutRandom_GoodSeeds (s20).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set20/SpaceOutRandom_BadSeeds (s20).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set20/SpaceOutRandom_BadSeeds (s20).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set2/SpaceOutRandom_BadSeeds (s2).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set2/SpaceOutRandom_BadSeeds (s2).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set2/Line_Mix (s2).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set2/Line_Mix (s2).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set2/Line_GoodSeeds (s2).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set2/Line_GoodSeeds (s2).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set2/Line_BadSeeds (s2).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set2/Line_BadSeeds (s2).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set2/SpaceOutRandom_Mix (s2).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set2/SpaceOutRandom_Mix (s2).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set2/SpaceOutRandom_GoodSeeds (s2).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set2/SpaceOutRandom_GoodSeeds (s2).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set19/Line_GoodSeeds (s19).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set19/Line_GoodSeeds (s19).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set19/Line_BadSeeds (s19).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set19/Line_BadSeeds (s19).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set19/SpaceOutRandom_Mix (s19).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set19/SpaceOutRandom_Mix (s19).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set19/SpaceOutRandom_GoodSeeds (s19).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set19/SpaceOutRandom_GoodSeeds (s19).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set19/SpaceOutRandom_BadSeeds (s19).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set19/SpaceOutRandom_BadSeeds (s19).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set19/Line_Mix (s19).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set19/Line_Mix (s19).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set18/Line_GoodSeeds (s18).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set18/Line_GoodSeeds (s18).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set18/Line_BadSeeds (s18).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set18/Line_BadSeeds (s18).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set18/SpaceOutRandom_Mix (s18).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set18/SpaceOutRandom_Mix (s18).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set18/SpaceOutRandom_GoodSeeds (s18).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set18/SpaceOutRandom_GoodSeeds (s18).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set18/SpaceOutRandom_BadSeeds (s18).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set18/SpaceOutRandom_BadSeeds (s18).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set18/Line_Mix (s18).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set18/Line_Mix (s18).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set17/Line_GoodSeeds (s17).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set17/Line_GoodSeeds (s17).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set17/Line_BadSeeds (s17).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set17/Line_BadSeeds (s17).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set17/SpaceOutRandom_GoodSeeds (s17).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set17/SpaceOutRandom_GoodSeeds (s17).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set17/SpaceOutRandom_BadSeeds (s17).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set17/SpaceOutRandom_BadSeeds (s17).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set17/Line_Mix (s17).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set17/Line_Mix (s17).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set17/SpaceOutRandom_Mix (s17).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set17/SpaceOutRandom_Mix (s17).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set16/Line_BadSeeds (s16).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set16/Line_BadSeeds (s16).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set16/SpaceOutRandom_BadSeeds (s16).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set16/SpaceOutRandom_BadSeeds (s16).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set16/Line_Mix (s16).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set16/Line_Mix (s16).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set16/Line_GoodSeeds (s16).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set16/Line_GoodSeeds (s16).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set16/SpaceOutRandom_Mix (s16).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set16/SpaceOutRandom_Mix (s16).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set16/SpaceOutRandom_GoodSeeds (s16).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set16/SpaceOutRandom_GoodSeeds (s16).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set15/Line_Mix (s15).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set15/Line_Mix (s15).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set15/Line_GoodSeeds (s15).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set15/Line_GoodSeeds (s15).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set15/Line_BadSeeds (s15).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set15/Line_BadSeeds (s15).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set15/SpaceOutRandom_Mix (s15).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set15/SpaceOutRandom_Mix (s15).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set15/SpaceOutRandom_GoodSeeds (s15).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set15/SpaceOutRandom_GoodSeeds (s15).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set15/SpaceOutRandom_BadSeeds (s15).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set15/SpaceOutRandom_BadSeeds (s15).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set14/Line_GoodSeeds (s14).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set14/Line_GoodSeeds (s14).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set14/Line_BadSeeds (s14).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set14/Line_BadSeeds (s14).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set14/SpaceOutRandom_Mix (s14).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set14/SpaceOutRandom_Mix (s14).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set14/SpaceOutRandom_GoodSeeds (s14).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set14/SpaceOutRandom_GoodSeeds (s14).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set14/SpaceOutRandom_BadSeeds (s14).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set14/SpaceOutRandom_BadSeeds (s14).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set14/Line_Mix (s14).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set14/Line_Mix (s14).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set13/Line_BadSeeds (s13).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set13/Line_BadSeeds (s13).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set13/SpaceOutRandom_GoodSeeds (s13).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set13/SpaceOutRandom_GoodSeeds (s13).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set13/SpaceOutRandom_BadSeeds (s13).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set13/SpaceOutRandom_BadSeeds (s13).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set13/Line_Mix (s13).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set13/Line_Mix (s13).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set13/Line_GoodSeeds (s13).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set13/Line_GoodSeeds (s13).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set13/SpaceOutRandom_Mix (s13).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set13/SpaceOutRandom_Mix (s13).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set12/SpaceOutRandom_BadSeeds (s12).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set12/SpaceOutRandom_BadSeeds (s12).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set12/Line_Mix (s12).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set12/Line_Mix (s12).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set12/Line_GoodSeeds (s12).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set12/Line_GoodSeeds (s12).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set12/Line_BadSeeds (s12).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set12/Line_BadSeeds (s12).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set12/SpaceOutRandom_Mix (s12).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set12/SpaceOutRandom_Mix (s12).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set12/SpaceOutRandom_GoodSeeds (s12).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set12/SpaceOutRandom_GoodSeeds (s12).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set11/Line_BadSeeds (s11).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set11/Line_BadSeeds (s11).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set11/SpaceOutRandom_Mix (s11).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set11/SpaceOutRandom_Mix (s11).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set11/SpaceOutRandom_GoodSeeds (s11).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set11/SpaceOutRandom_GoodSeeds (s11).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set11/SpaceOutRandom_BadSeeds (s11).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set11/SpaceOutRandom_BadSeeds (s11).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set11/Line_Mix (s11).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set11/Line_Mix (s11).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set11/Line_GoodSeeds (s11).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set11/Line_GoodSeeds (s11).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set10/Line_GoodSeeds (s10).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set10/Line_GoodSeeds (s10).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set10/Line_BadSeeds (s10).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set10/Line_BadSeeds (s10).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set10/SpaceOutRandom_Mix (s10).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set10/SpaceOutRandom_Mix (s10).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set10/SpaceOutRandom_GoodSeeds (s10).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set10/SpaceOutRandom_GoodSeeds (s10).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set10/SpaceOutRandom_BadSeeds (s10).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set10/SpaceOutRandom_BadSeeds (s10).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set10/Line_Mix (s10).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set10/Line_Mix (s10).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set1/SpaceOutRandom_BadSeeds (s1).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set1/SpaceOutRandom_BadSeeds (s1).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set1/Line_Mix (s1).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set1/Line_Mix (s1).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set1/Line_GoodSeeds (s1).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set1/Line_GoodSeeds (s1).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set1/Line_BadSeeds (s1).JPG,BAD,/content/drive/My Drive/AAR/dataset/LightBox/Set1/Line_BadSeeds (s1).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set1/SpaceOutRandom_Mix (s1).JPG,MIX,/content/drive/My Drive/AAR/dataset/LightBox/Set1/SpaceOutRandom_Mix (s1).xml
/content/drive/My Drive/AAR/dataset/LightBox/Set1/SpaceOutRandom_GoodSeeds (s1).JPG,GOOD,/content/drive/My Drive/AAR/dataset/LightBox/Set1/SpaceOutRandom_GoodSeeds (s1).xml
